venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260424-84-P,SOL,USD,put,84.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,2.1,250.0,250.0,0.56265,0.0,0.0,2026-04-14T09:13:23.866000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260424-84-C,SOL,USD,call,84.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,4.4,250.0,250.0,0.56265,0.0,0.0,2026-04-14T09:13:23.683000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,2.200000000000003,False
lyra,SOL-20260424-90-P,SOL,USD,put,90.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,5.4,250.0,250.0,0.56723,24.0,2002.946,2026-04-14T09:13:32.410000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,3.799999999999997,,False
lyra,SOL-20260501-65-C,SOL,USD,call,65.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,21.7,0.0,0.0,0.9048,0.0,0.0,2026-04-14T09:13:32.308000+00:00,2026-04-14T09:13:00.836635+00:00,,,,21.200000000000003,False
lyra,SOL-20260501-140-P,SOL,USD,put,140.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,53.6,0.0,0.0,0.8786,0.0,0.0,2026-04-14T09:13:26.089000+00:00,2026-04-14T09:13:00.836635+00:00,,,53.8,,True
lyra,SOL-20260501-78-C,SOL,USD,call,78.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,9.9,250.0,250.0,0.65227,0.0,0.0,2026-04-14T09:13:33.268000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,8.200000000000003,False
lyra,SOL-20260501-85-C,SOL,USD,call,85.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,4.9,250.0,250.0,0.576,0.0,0.0,2026-04-14T09:13:25.942000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,1.2000000000000028,False
lyra,SOL-20260501-92-C,SOL,USD,call,92.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,2.2,250.0,250.0,0.59822,250.0,20882.915,2026-04-14T09:13:32.208000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
lyra,SOL-20260501-90-C,SOL,USD,call,90.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,2.8,250.0,250.0,0.58658,0.0,0.0,2026-04-14T09:13:32.109000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
lyra,SOL-20260501-60-P,SOL,USD,put,60.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,0.2,0.0,0.0,1.00258,0.0,0.0,2026-04-14T09:13:33.120000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260501-88-C,SOL,USD,call,88.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,3.5,250.0,250.0,0.578,0.0,0.0,2026-04-14T09:13:34.173000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
lyra,SOL-20260501-82-P,SOL,USD,put,82.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,2.4,250.0,250.0,0.59492,0.0,0.0,2026-04-14T09:13:32.817000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260501-110-C,SOL,USD,call,110.0,2026-05-01T00:00:00+00:00,0.0455231850382103,86.2,0.3,0.0,0.0,0.72189,0.0,0.0,2026-04-14T09:13:32.513000+00:00,2026-04-14T09:13:00.836635+00:00,,,,0.0,False
